endpoint,model,primary,faith,null,faithful,consensus,stability
DILI,rf,shap,0.15631483756483744,0.0609451275618027,1,0.3854650360387616,0.37454347443294916
DILI,rf,shap,0.01921954421954421,-0.02111111111111112,1,0.3124830811670812,0.3725152937121738
DILI,rf,shap,0.20028592314118623,0.03555555555555556,1,0.4357289137922979,0.2766171625557475
DILI,rf,shap,0.07839822790525398,-0.005555555555555536,1,0.352829014329594,2.01472867506916
DILI,rf,shap,0.02541493296347665,-0.004444444444444455,1,0.38031961413654425,1.9966828885903332
DILI,rf,shap,0.08719927719927728,-0.01388888888888884,1,0.36430726318838647,0.13881081024371425
DILI,rf,shap,0.2866370049703382,0.033333333333333326,1,0.3446874793772612,0.2935459189529152
DILI,rf,shap,0.32120099807599806,0.02289081289081285,1,0.4351258153794267,0.4581883507369656
DILI,rf,shap,0.1423879021526294,0.02951621844478991,1,0.3649450089297478,0.41704150112494554
DILI,rf,shap,0.29726827335833467,0.027592592592592613,1,0.4295317399354046,0.308388395240251
DILI,rf,shap,0.26866436421290796,-0.0052393302393302825,1,0.407503673172785,0.35688757921477693
DILI,rf,shap,0.13865818285071166,0.028456790123456848,1,0.38555370970998215,0.23247842005106045
DILI,rf,shap,-0.013763327721661186,-0.011111111111111146,0,0.4671763559613961,0.15466836472684672
DILI,rf,shap,0.07394180146607325,-0.023217990717990727,1,0.43815481402946516,0.1826174933192436
DILI,rf,shap,0.38551260351260347,0.03250374359805697,1,0.3986216249793318,0.21071822987763272
DILI,rf,shap,0.20753784628784636,0.040444444444444394,1,0.4024269586846922,0.19153059773778808
DILI,rf,shap,0.11772328741304772,0.023182950634406934,1,0.4148612389126709,0.41813481655766754
DILI,rf,shap,0.2685444047944048,0.034246031746031726,1,0.3625719605495994,0.3631634431775343
DILI,rf,shap,0.2534248971193416,0.04575757575757574,1,0.3751113572487601,0.21284967683649977
DILI,rf,shap,0.28936784964484624,0.07333333333333347,1,0.4225182985089972,0.5365085550180068
DILI,rf,shap,0.036366008866008936,0.038888888888888896,0,0.35975260759906924,0.14833987647430688
DILI,rf,shap,0.08655269445625356,-0.00992063492063496,1,0.3832129596869009,0.6359899796123083
DILI,rf,shap,0.1560623123123124,0.01575503570649202,1,0.42303742119349386,0.2947645639746334
DILI,rf,shap,-0.01565485051011371,-0.02999999999999999,1,0.40559924459153746,0.5176257381585079
DILI,rf,shap,0.29360646942225893,0.0055555555555554985,1,0.40779024768639854,0.36030232104156296
DILI,rf,shap,0.20714814814814816,0.07883838383838389,1,0.35186065086043666,0.2657165849891034
DILI,rf,shap,0.030931608393945226,0.05894530894530899,0,0.3809039207780309,0.2114139122661106
