endpoint,shift_scaffold,shift_random,shift_ratio,faith_delta_scaf_minus_rand
DILI,9.549647819615403,10.145606854284829,0.9412593998397453,-0.004966209887186629
hERG,8.239327498863021,7.624654295515513,1.080616534001865,0.010242872076051027
AMES,7.000108985068543,4.2076317090249615,1.6636696050156479,-0.018098040793024933
LD50,569.1354181185394,344.28093292306966,1.6531133841328962,0.010609096221803338
Caco2,7.623174861842585,5.398260772359617,1.4121538736073858,-0.0018614402108388939
HIA,9.922106601295884,8.106895764736613,1.2239094824965147,0.03257468853042662
BBB,7.784211807599978,6.330493095758167,1.2296375161654085,0.009799447138522294
VDss,8.01855838534754,9911469.18517694,8.090181420671379e-07,0.14603093535474096
CYP2C9-Sub,11.938353435440131,11.514837625072158,1.036780007076178,-0.00550707191032572
CYP3A4-Sub,13.548387086680131,8.8616716157713,1.528874875146458,-0.05277668393333436
HalfLife,21.473436278865947,20.940513054972005,1.0254493871028607,-0.03312849000790141
CL-Hepa,8.646129759772682,5.6044865128886645,1.5427157757176184,0.031048713963605812
