endpoint,category,task,representation,split,model,n_train,n_test,auroc,auprc,mae,r2,spearman,primary_metric,primary_value,cleared_floor
LD50,toxicity,regression,descriptors,random,mlp,5908,1477,,,7.375127975488404,-76225.71367558214,0.646859135807384,Spearman,0.646859135807384,True
LD50,toxicity,regression,ecfp,scaffold,rf,5907,1478,,,0.5768572160540626,0.21968553473430108,0.4754238151705982,Spearman,0.4754238151705982,True
LD50,toxicity,regression,ecfp,scaffold,hgb,5907,1478,,,0.5792774373914062,0.23872960745535943,0.4839090864747012,Spearman,0.4839090864747012,True
LD50,toxicity,regression,ecfp,scaffold,mlp,5907,1478,,,0.7490348883162332,-0.1994478326233613,0.2902005913488413,Spearman,0.2902005913488413,True
LD50,toxicity,regression,ecfp,random,rf,5908,1477,,,0.5188187735639621,0.4977193987388041,0.6280434520435918,Spearman,0.6280434520435918,True
LD50,toxicity,regression,ecfp,random,hgb,5908,1477,,,0.4724582721716905,0.5675517421436377,0.7012501884767937,Spearman,0.7012501884767937,True
LD50,toxicity,regression,ecfp,random,mlp,5908,1477,,,0.536264323030845,0.43681247479355745,0.6276355170170015,Spearman,0.6276355170170015,True
Caco2,absorption,regression,descriptors,scaffold,rf,728,182,,,0.3904610190431959,0.5785355683392615,0.6948305687487116,Spearman,0.6948305687487116,True
Caco2,absorption,regression,descriptors,scaffold,hgb,728,182,,,0.3828706563371363,0.6290694685761622,0.7377920483370112,Spearman,0.7377920483370112,True
Caco2,absorption,regression,descriptors,scaffold,mlp,728,182,,,0.5309728838619023,0.22796440905181758,0.5673196551861079,Spearman,0.5673196551861079,True
Caco2,absorption,regression,descriptors,random,rf,728,182,,,0.2811926119166955,0.7674455118477505,0.8418040494925264,Spearman,0.8418040494925264,True
Caco2,absorption,regression,descriptors,random,hgb,728,182,,,0.27715544729393027,0.7709492625473227,0.8500591966449195,Spearman,0.8500591966449195,True
Caco2,absorption,regression,descriptors,random,mlp,728,182,,,0.47874461639332194,0.2794578287125319,0.6410071002740412,Spearman,0.6410071002740412,True
Caco2,absorption,regression,ecfp,scaffold,rf,728,182,,,0.4733167541882389,0.40488712948096417,0.5777052195839217,Spearman,0.5777052195839217,True
Caco2,absorption,regression,ecfp,scaffold,hgb,728,182,,,0.4749297770002047,0.42942720503151244,0.6042631186015541,Spearman,0.6042631186015541,True
Caco2,absorption,regression,ecfp,scaffold,mlp,728,182,,,1.4394414901086159,-3.88518505415532,0.3552152585374314,Spearman,0.3552152585374314,True
Caco2,absorption,regression,ecfp,random,rf,728,182,,,0.36195394615515036,0.604584671643778,0.7546012698060671,Spearman,0.7546012698060671,True
Caco2,absorption,regression,ecfp,random,hgb,728,182,,,0.3354970582624303,0.644136099420137,0.7544350502897909,Spearman,0.7544350502897909,True
Caco2,absorption,regression,ecfp,random,mlp,728,182,,,0.8643709156740964,-1.449843335210928,0.5274461131043102,Spearman,0.5274461131043102,True
HIA,absorption,classification,descriptors,scaffold,rf,461,117,0.9834229390681003,0.9953887763065301,,,,AUROC,0.9834229390681003,True
HIA,absorption,classification,descriptors,scaffold,hgb,461,117,0.9816308243727598,0.995042807964418,,,,AUROC,0.9816308243727598,True
HIA,absorption,classification,descriptors,scaffold,mlp,461,117,0.9690860215053764,0.9911777044727555,,,,AUROC,0.9690860215053764,True
HIA,absorption,classification,descriptors,random,rf,462,116,0.9982683982683982,0.9998194497924956,,,,AUROC,0.9982683982683982,True
HIA,absorption,classification,descriptors,random,hgb,462,116,0.9991341991341991,0.9999101527403413,,,,AUROC,0.9991341991341991,True
HIA,absorption,classification,descriptors,random,mlp,462,116,0.9965367965367966,0.999650502402796,,,,AUROC,0.9965367965367966,True
HIA,absorption,classification,ecfp,scaffold,rf,461,117,0.9059139784946236,0.9606424082825296,,,,AUROC,0.9059139784946236,True
HIA,absorption,classification,ecfp,scaffold,hgb,461,117,0.9301075268817203,0.9822342454531231,,,,AUROC,0.9301075268817203,True
HIA,absorption,classification,ecfp,scaffold,mlp,461,117,0.8678315412186379,0.9508955892301887,,,,AUROC,0.8678315412186379,True
HIA,absorption,classification,ecfp,random,rf,462,116,1.0,0.9999999999999998,,,,AUROC,1.0,True
HIA,absorption,classification,ecfp,random,hgb,462,116,0.9731601731601731,0.9968278357291914,,,,AUROC,0.9731601731601731,True
HIA,absorption,classification,ecfp,random,mlp,462,116,0.9593073593073593,0.9944556135496225,,,,AUROC,0.9593073593073593,True
BBB,distribution,classification,descriptors,scaffold,rf,1624,406,0.9179763223483799,0.9737429196184054,,,,AUROC,0.9179763223483799,True
BBB,distribution,classification,descriptors,scaffold,hgb,1624,406,0.9080240930490169,0.9640780615935037,,,,AUROC,0.9080240930490169,True
BBB,distribution,classification,descriptors,scaffold,mlp,1624,406,0.8464068125173083,0.9164622623097552,,,,AUROC,0.8464068125173083,True
BBB,distribution,classification,descriptors,random,rf,1624,406,0.8957310420076378,0.9530991979961267,,,,AUROC,0.8957310420076378,True
BBB,distribution,classification,descriptors,random,hgb,1624,406,0.9008115111838516,0.9556697874387291,,,,AUROC,0.9008115111838516,True
BBB,distribution,classification,descriptors,random,mlp,1624,406,0.8897810965630114,0.9424358797742114,,,,AUROC,0.8897810965630114,True
BBB,distribution,classification,ecfp,scaffold,rf,1624,406,0.8776135419551372,0.955900444925631,,,,AUROC,0.8776135419551372,True
BBB,distribution,classification,ecfp,scaffold,hgb,1624,406,0.8625553863195791,0.9536249136489181,,,,AUROC,0.8625553863195791,True
BBB,distribution,classification,ecfp,scaffold,mlp,1624,406,0.8576052340072002,0.947880856812142,,,,AUROC,0.8576052340072002,True
BBB,distribution,classification,ecfp,random,rf,1624,406,0.8862349972722312,0.9563629894259875,,,,AUROC,0.8862349972722312,True
BBB,distribution,classification,ecfp,random,hgb,1624,406,0.9000443262411347,0.9634723244694516,,,,AUROC,0.9000443262411347,True
BBB,distribution,classification,ecfp,random,mlp,1624,406,0.8803532460447354,0.9482837650454067,,,,AUROC,0.8803532460447354,True
VDss,distribution,regression,descriptors,scaffold,rf,904,226,,,4.505514290237733,-0.5075908511506524,0.5545353636942172,Spearman,0.5545353636942172,True
VDss,distribution,regression,descriptors,scaffold,hgb,904,226,,,6.711646601922145,-1.8003283462552742,0.41845020204136624,Spearman,0.41845020204136624,True
VDss,distribution,regression,descriptors,scaffold,mlp,904,226,,,8.046315635749988,-2.7137980513369975,0.38484964801492744,Spearman,0.38484964801492744,True
VDss,distribution,regression,descriptors,random,rf,904,226,,,3.9692930847855936,-7.4107934762681715,0.5845922100459616,Spearman,0.5845922100459616,True
VDss,distribution,regression,descriptors,random,hgb,904,226,,,5.462258614042414,-2.0226118683259067,0.3559807225445212,Spearman,0.3559807225445212,True
VDss,distribution,regression,descriptors,random,mlp,904,226,,,12257361.379047407,-1065845535550677.9,0.4721550557797273,Spearman,0.4721550557797273,True
VDss,distribution,regression,ecfp,scaffold,rf,904,226,,,5.5889776135886775,-0.5116689364828255,0.409803985913089,Spearman,0.409803985913089,True
VDss,distribution,regression,ecfp,scaffold,hgb,904,226,,,5.4231858444233145,-0.9547508471347861,0.4386495372896836,Spearman,0.4386495372896836,True
VDss,distribution,regression,ecfp,scaffold,mlp,904,226,,,9.609818133620825,-3.2232100748276107,0.33407391655876684,Spearman,0.33407391655876684,True
VDss,distribution,regression,ecfp,random,rf,904,226,,,4.231084472049772,-2.4987478053355794,0.4733514000374416,Spearman,0.4733514000374416,True
VDss,distribution,regression,ecfp,random,hgb,904,226,,,4.124169995506284,-1.2017320776269913,0.364745340351847,Spearman,0.364745340351847,True
VDss,distribution,regression,ecfp,random,mlp,904,226,,,8.627389389414967,-8.616701932261718,0.26192743210617964,Spearman,0.26192743210617964,True
CYP2C9-Sub,metabolism,classification,descriptors,scaffold,rf,534,135,0.5882352941176471,0.3236019795262507,,,,AUROC,0.5882352941176471,True
CYP2C9-Sub,metabolism,classification,descriptors,scaffold,hgb,534,135,0.60518444666002,0.28455615099357756,,,,AUROC,0.60518444666002,True
CYP2C9-Sub,metabolism,classification,descriptors,scaffold,mlp,534,135,0.6729810568295115,0.3047883037554182,,,,AUROC,0.6729810568295115,True
