cell,faith,faithful,consensus,stability,conf,margin,knn_dist,attr_l2,attr_entropy
leukemia-rf,0.14666666666666664,1,0.02730684897874936,0.28854422058700746,0.8733333333333333,0.7466666666666666,92.96218980249441,0.03213519933519041,5.77356314804868
leukemia-rf,0.18555555555555556,1,0.04182170411604878,0.29645320114012264,0.9166666666666666,0.8333333333333333,82.06105795383493,0.030554519172429927,5.810094878443726
leukemia-rf,0.19000000000000006,1,0.028198870801058592,0.3363286989526235,0.92,0.8400000000000001,78.06118230385788,0.030260453597284288,5.782872625400364
leukemia-rf,0.24777777777777776,1,0.037236971071915176,1.9572946221264436,0.5233333333333333,0.046666666666666634,103.53923573920974,0.04409075934639696,5.719027118283158
leukemia-rf,0.08555555555555557,1,0.017562218043843236,0.3567613269261472,0.8166666666666667,0.6333333333333333,95.20703339442738,0.033335000709796274,5.763462056203255
leukemia-rf,0.14888888888888888,1,0.0200382302178154,0.2669200866650336,0.8833333333333333,0.7666666666666666,93.98074212983981,0.03016579771295095,5.8586348210243955
leukemia-rf,0.18888888888888897,1,0.04841274081143849,0.27207069057629063,0.92,0.8400000000000001,91.91646287164107,0.03042781825118202,5.8039905560115415
leukemia-rf,0.3355555555555556,1,0.013451440939772123,0.3899795686408538,0.6066666666666667,0.21333333333333337,88.69805547313737,0.04274586192188843,5.727092635343114
leukemia-rf,-0.16333333333333333,0,0.023255141192024632,0.7727350449897968,0.5633333333333334,0.1266666666666667,99.04316339119575,0.04011336744126482,5.7231482491191406
leukemia-rf,0.32,1,0.03336471319254375,0.2695190381743051,0.5933333333333334,0.1866666666666667,151.11075867126755,0.04679994640665963,5.739831806393259
leukemia-rf,0.1344444444444444,1,0.03178337958026017,0.2806794196638878,0.8633333333333333,0.7266666666666666,73.88568608399694,0.03235037270016241,5.786415519280712
leukemia-rf,0.1222222222222223,1,0.03600954558294499,0.30102088638369834,0.8533333333333334,0.7066666666666668,73.94858945970427,0.033773279267239886,5.730474236691444
leukemia-rf,0.1233333333333333,1,0.002076693926565607,0.5905722733596648,0.8166666666666667,0.6333333333333333,89.02584810540836,0.034097555336904485,5.817151074554084
leukemia-rf,0.13111111111111115,1,0.008072046005507094,0.4142846901256434,0.8233333333333334,0.6466666666666667,80.82980537355479,0.032635703126212876,5.816358789162511
leukemia-rf,0.11555555555555559,1,0.02804814534053395,0.3249096939736167,0.81,0.6200000000000001,83.17556619926042,0.0330623496461537,5.801818219800502
leukemia-rf,0.20777777777777776,1,0.041704452357285204,0.2739016641371963,0.9033333333333333,0.8066666666666666,90.4674075889837,0.02955829216554648,5.8797478491592
leukemia-rf,0.11111111111111112,1,0.022251912367912224,0.5000412003241645,0.8033333333333333,0.6066666666666667,79.29600878121508,0.03164804235619562,5.862162607462556
leukemia-rf,0.4566666666666667,1,0.040535065935111185,0.3195559054621021,0.7666666666666667,0.5333333333333334,94.11370650915433,0.04996145027403911,5.68178634427923
leukemia-rf,-0.009999999999999934,0,0.027266573206331347,0.422264867947177,0.68,0.36000000000000004,107.91666047068449,0.03974420887048311,5.771121788559055
leukemia-rf,0.15555555555555553,1,0.026013222783094217,0.46082283129567586,0.85,0.7,104.1689631636307,0.030407461516450993,5.889661912405207
leukemia-rf,0.4000000000000001,1,0.02543424722631983,0.20222213750085694,0.7066666666666667,0.41333333333333333,94.09305783100363,0.04885352278373212,5.778865420700269
leukemia-rf,0.24111111111111116,1,0.010030246085879524,0.26775727719591486,0.55,0.10000000000000003,107.95489631155942,0.0496827976007738,5.708562493559613
leukemia-rf,0.30888888888888894,1,0.04597014835194808,0.2650084176947557,0.6166666666666667,0.23333333333333334,80.86941930940485,0.048089518753055366,5.708850696575773
leukemia-rf,-0.10222222222222226,0,0.03879716218218938,0.34349461752684923,0.59,0.18,80.23317493083547,0.04397286084503267,5.729479515037347
leukemia-rf,0.16555555555555554,1,0.03833789143520341,0.4215388311599465,0.8466666666666667,0.6933333333333334,79.62527615453482,0.03317656547017221,5.802245317967396
leukemia-rf,0.09333333333333327,1,0.029049177717651795,0.5340206722394276,0.7766666666666666,0.5533333333333332,107.07067330078416,0.03218437131431681,5.8711717243807655
leukemia-rf,0.13888888888888887,1,0.02982172673573702,0.2847254091649272,0.8233333333333334,0.6466666666666667,131.75345654299468,0.03452387043171871,5.8378208431998
leukemia-rf,0.09555555555555555,1,0.03146303343398298,0.24136354698739318,0.77,0.54,85.78198620281594,0.036039132421286896,5.789474204255672
leukemia-rf,-0.034444444444444465,0,0.02650101106573488,0.3760986620203181,0.64,0.28,115.96853772440565,0.035389844675754525,5.891331472638337
leukemia-rf,0.20666666666666664,1,0.020902078853275077,0.29168911413996285,0.5333333333333333,0.06666666666666665,80.90559006560217,0.043340326310884275,5.7591553811365905
leukemia-rf,-0.03888888888888894,0,0.008788928496133995,0.45398261321373334,0.6433333333333333,0.2866666666666666,121.51938760296665,0.03418881938311038,5.936292645775973
leukemia-rf,0.4477777777777778,1,0.03681454685785517,0.27175948863659627,0.77,0.54,90.12720070333249,0.047283782799238935,5.700444413664655
leukemia-rf,0.08333333333333326,1,0.024773845986253724,0.41760570735575453,0.7633333333333333,0.5266666666666666,96.54769562003904,0.03450491209771395,5.807624822805986
leukemia-rf,0.10222222222222221,1,0.0,0.34617304092821266,0.78,0.56,90.01611574465494,0.03228827133680535,5.820135283663327
leukemia-rf,0.47222222222222227,1,0.04829885634031356,0.20427112993614252,0.7933333333333333,0.5866666666666667,107.75230782531989,0.050224763955642626,5.722291314666287
