mol_idx,bit,IG_auc,IG_faith,grad_auc,grad_faith,grad*input_auc,grad*input_faith,smoothgrad_auc,smoothgrad_faith,occlusion_auc,occlusion_faith,random_auc,random_faith
0,80,0.8888888888888888,0.561577096581459,0.6666666666666667,0.3595888018608093,0.7777777777777778,0.4443064307173093,0.6666666666666667,0.3595888018608093,1.0,0.5672244876623154,0.4444444444444444,-0.006346702575683594
0,807,0.5238095238095238,0.03741459051767985,0.6190476190476191,0.03741459051767985,0.6190476190476191,0.03704307476679484,0.6190476190476191,0.03741459051767985,0.42857142857142855,0.011170784632364908,0.2380952380952381,0.013940652211507162
0,650,0.04761904761904763,0.15638156731923422,0.04761904761904763,0.1589546799659729,0.04761904761904763,0.1589546799659729,0.04761904761904763,0.15897947549819946,0.5714285714285714,0.024592379728953045,0.47619047619047616,0.01889646053314209
0,893,0.0625,0.6513361999920259,0.125,0.6500667839912543,0.1875,0.6498246560028443,0.1875,0.64752301669796,0.5,0.6337265368395796,0.375,0.008235653241475424
0,147,0.6666666666666667,0.6721489156673973,0.4444444444444444,0.6609130086532483,0.5555555555555556,0.6702417768926049,0.5555555555555556,0.6704388044308871,0.33333333333333337,0.7325593805095801,0.33333333333333337,0.20367541909217834
0,389,0.33333333333333337,0.5945406956016086,0.5555555555555556,0.6394682305617607,0.33333333333333337,0.5891370480918946,0.5555555555555556,0.6394682305617607,0.11111111111111116,0.6388806676259264,0.6666666666666667,0.5910105776662627
0,881,0.8888888888888888,0.24833354447036982,0.7777777777777778,0.30069086711349274,0.7777777777777778,0.24664728933324417,0.7777777777777778,0.307501624134602,0.8888888888888888,0.3090238510145961,0.33333333333333337,0.07125867406527202
0,725,0.4444444444444444,-0.05766270558039347,0.11111111111111116,0.4024913565566142,0.2222222222222222,0.09337129195531209,0.11111111111111116,0.40117223126192886,0.6666666666666667,0.42799372784793377,0.0,0.07689622044563293
0,473,0.4444444444444444,0.06674848132145901,0.33333333333333337,0.07585877447854728,0.33333333333333337,0.06583648105151951,0.4444444444444444,0.07585877447854728,0.2222222222222222,0.07708584618133803,0.5555555555555556,-0.013104873398939768
0,979,0.0,0.24776588124223053,0.0,0.3251135841164796,0.0,0.2407218455336988,0.0,0.3251135841164796,0.2222222222222222,0.32698845590130077,0.8888888888888888,0.294030341009299
0,815,0.33333333333333337,0.26499095200172934,0.11111111111111116,0.3255313711454922,0.2222222222222222,0.2607443740319771,0.11111111111111116,0.3232207455575917,0.6666666666666667,0.32716853431005194,1.0,0.270299653110366
0,713,0.5555555555555556,0.4868514447637911,1.0,0.47997850143898785,0.6666666666666667,0.4697687468190755,1.0,0.47997850143898785,0.8888888888888888,0.485592961020302,0.6666666666666667,0.02707609534263611
0,401,0.8888888888888888,0.12529911053328155,0.4444444444444444,0.129636919281135,0.6666666666666667,0.1206093270642062,0.6666666666666667,0.13325242341185609,0.7777777777777778,0.13485221544760861,1.0,0.10123630799353123
0,140,0.5555555555555556,0.14561157937472066,0.33333333333333337,0.19768926097700992,0.4444444444444444,0.14556138295059404,0.4444444444444444,0.20387845741546093,0.11111111111111116,0.20387845741546093,0.4444444444444444,0.09775005529324214
1,80,1.0,0.006053706010182698,0.6,0.010680814584096273,0.75,0.05663524071375529,0.6,0.010680814584096273,0.05,0.0711224873860677,0.45,-0.031013290087382
1,33,0.25,0.027399222056070965,0.5,0.03029741843541463,0.5,0.03029741843541463,0.5,0.03029741843541463,1.0,0.05871729056040446,0.875,0.11776240666707356
1,650,0.125,0.4611840670307477,0.75,0.7271189466118813,0.625,0.7279907390475273,0.75,0.7271189466118813,0.625,0.7205505296587944,0.0,0.49795927852392197
1,294,0.375,-0.017603158950805664,0.625,0.023836195468902588,0.625,0.023836195468902588,0.625,0.023836195468902588,1.0,0.467421293258667,0.875,0.2969794273376465
1,887,1.0,0.15194125970204672,0.5,0.3769978880882263,0.3888888888888889,0.3769978880882263,0.5,0.3769978880882263,0.05555555555555554,0.44436991959810257,0.4444444444444444,0.3172767062981923
1,794,0.625,0.05268241961797079,0.875,0.13893615206082663,0.875,0.251948503156503,0.875,0.13893615206082663,0.125,0.6070098057389259,0.375,0.1493186354637146
1,591,0.5,0.15325174729029337,0.375,0.10830669850111008,0.625,0.33993031084537506,0.75,0.3388821507493655,0.25,0.024040202299753826,1.0,-0.06761881709098816
1,420,0.875,0.13807972023884454,0.375,0.19018236299355826,0.625,0.20238496270030737,0.375,0.19018236299355826,0.25,-0.22659162928660712,0.375,0.05696299485862255
1,119,0.75,0.06729080287429194,0.25,0.07034057060567041,0.375,0.07423621873992185,0.25,0.07034057060567041,0.375,-0.2919221296906471,0.5,-0.035819235568245254
1,939,0.25,0.00099260825663805,1.0,0.007891071979732564,0.375,9.050251295169194e-05,1.0,0.007891071979732564,0.875,0.0012165168688322108,0.0,-0.008871683230002722
1,715,0.125,0.0030352919517705836,0.125,0.0010662769588331382,0.125,0.0016713157917062442,0.125,0.0027572944915543,0.625,-0.00352976331487298,1.0,0.005171899528553088
1,838,0.0,-0.0034588255609075227,0.5,0.008218756333614389,0.0,-0.00019452666553358236,0.375,0.008218756333614389,0.625,0.00823607932155331,1.0,0.0019955971899131932
1,753,0.0,-0.0002670387427012126,0.25,0.01271064905449748,0.0,-0.002246793049077193,0.125,0.01271064905449748,0.0,0.012648930229867498,0.625,0.001916937840481599
2,80,0.75,0.3335022230943044,0.25,0.1813949247201284,0.375,0.35766031344731647,0.25,0.1813949247201284,0.75,0.3335022230943044,0.75,0.08058240016301473
2,33,0.5,0.34058665732542676,0.2857142857142857,0.19509151577949524,0.5714285714285714,0.3044949720303218,0.2142857142857143,0.19509151577949524,0.4285714285714286,0.26984694103399914,0.1428571428571429,-0.15649674336115518
2,807,1.0,0.18698424100875854,0.875,0.26066144307454425,0.875,0.19120121002197266,0.875,0.3105517327785492,0.75,0.31055183211962384,0.875,0.1361562212308248
2,650,0.0,0.5275076180696487,0.2857142857142857,0.5951014446715513,0.1428571428571429,0.5275076180696487,0.2857142857142857,0.5951014446715513,0.5,0.5769071777661642,0.1428571428571429,0.003690222899119059
2,893,0.125,0.8714574127613256,0.125,0.8717498686795201,0.0,0.8717498686795201,0.0,0.8717498686795201,0.375,0.8908259818175187,0.125,0.847354461128513
2,294,0.625,0.21966175269335508,0.125,0.24097776164611182,0.375,0.17574486508965492,0.0,0.24097776164611182,0.125,-0.03317660093307495,0.75,0.21648238692432642
2,695,0.375,0.48445986265627045,0.625,0.4688922409744312,0.375,0.48445986265627045,0.375,0.4688922409744312,0.5,0.49283636601952213,0.875,0.33288167758534354
2,147,0.375,0.6054327882205447,0.625,0.597217955160886,0.375,0.597217955160886,0.625,0.5702076773159206,0.5,0.6042937383366128,1.0,0.21400441726048788
2,881,0.75,0.2573221779117982,1.0,0.25933978826894116,0.875,0.2607165843558808,1.0,0.25929680610230815,0.875,0.2626908350115021,0.625,0.13023662008345127
