endpoint,spearman_lime300,spearman_lime1000,jaccard_lime1000
DILI,0.236280520088907,0.4995087143898474,0.3639274940745529
hERG,0.1775145605832296,0.424729137430102,0.2124623241109309
AMES,0.1372975393729466,0.3743263969774564,0.2727385488608398
LD50,0.0748846842987431,0.18853693606415292,0.3309457971222677
Caco2,0.0820050187692549,0.18084465960407983,0.49422244422244427
BBB,0.1693154335827216,0.3622187539683115,0.38225149033972555
