endpoint,category,representation,split,model,method_a,method_b,kendall_mean,kendall_std,spearman_mean,spearman_std,jaccard_mean,jaccard_std,top_k
DILI,toxicity,descriptors,scaffold,rf,shap,lime,0.1608285437142801,0.050467077363661385,0.23628052008890704,0.07212085174680301,0.24619289236162298,0.10098940458674735,10
DILI,toxicity,descriptors,scaffold,rf,shap,random,-0.00135025558327551,0.0454533927791689,-0.00192451228691469,0.06727710794189315,0.024951267056530214,0.03352373150363455,10
DILI,toxicity,descriptors,scaffold,rf,lime,random,0.008108607839790635,0.04271892071676837,0.011648021314342711,0.06452852054905128,0.026023391812865497,0.036636155077032266,10
DILI,toxicity,descriptors,scaffold,hgb,shap,lime,0.1080227322189875,0.045968097689502656,0.15325759154851698,0.063951771048813,0.1761650859174079,0.08258725306034684,10
DILI,toxicity,descriptors,scaffold,hgb,shap,random,0.0004099097453521761,0.04990530029079169,0.0011458418799112043,0.07048790250476147,0.02563352826510721,0.030143758145464432,10
DILI,toxicity,descriptors,scaffold,hgb,lime,random,-0.003601297149684246,0.03733065188785249,-0.005165013129647637,0.054532928860166315,0.01783625730994152,0.03074905851739029,10
DILI,toxicity,descriptors,scaffold,mlp,ig,lime,0.14201619321650386,0.048310772581475266,0.2120301298162245,0.07223624927298991,0.07083906662080036,0.05965721732671732,10
DILI,toxicity,descriptors,scaffold,mlp,ig,random,-0.006628105366543172,0.04994370287382201,-0.009903455966187828,0.07383503025042175,0.02231968810916179,0.0333126652977386,10
DILI,toxicity,descriptors,scaffold,mlp,lime,random,-0.007882460032997668,0.042912913719257505,-0.012303074858564649,0.06391619712076609,0.016861598440545807,0.0286309257167474,10
DILI,toxicity,descriptors,random,rf,shap,lime,0.14610355138061626,0.0509351085712623,0.21456853867078282,0.07307537110234384,0.2896280734516028,0.1143933546002234,10
DILI,toxicity,descriptors,random,rf,shap,random,0.003668850407628534,0.04773473610460536,0.005120380175771413,0.0709117674229686,0.017641325536062378,0.026936404380522357,10
DILI,toxicity,descriptors,random,rf,lime,random,0.007329180178642546,0.04489798038582558,0.011670432534593527,0.0668762778110093,0.026608187134502918,0.031895478818004704,10
DILI,toxicity,descriptors,random,hgb,shap,lime,0.10137508877693398,0.048851546689770965,0.14262382702666637,0.06771929582346081,0.17069286779039097,0.07314380686615075,10
DILI,toxicity,descriptors,random,hgb,shap,random,0.0013779918196492817,0.04886484101855159,0.001988124851395573,0.06830851593008455,0.02672285288384359,0.0341303806775553,10
DILI,toxicity,descriptors,random,hgb,lime,random,0.002554474597485349,0.04899600126481611,0.0039976136454384446,0.0732931425289959,0.02748538011695906,0.03187536859628455,10
DILI,toxicity,descriptors,random,mlp,ig,lime,0.13652470458432334,0.051180650510297805,0.2026011811733689,0.07513603239830949,0.081869911707373,0.05509871622873603,10
DILI,toxicity,descriptors,random,mlp,ig,random,0.004539382302119336,0.04543597559169355,0.006603248371573087,0.06745089217146476,0.025828460038986353,0.03354795083722362,10
DILI,toxicity,descriptors,random,mlp,lime,random,0.003658189679695055,0.044373975515334736,0.004784492140218683,0.06618323447046427,0.019883040935672513,0.03606817297101584,10
hERG,toxicity,descriptors,scaffold,rf,shap,lime,0.1195445687088947,0.04325014629192173,0.17751456058322965,0.06173190596195989,0.14085253984634788,0.08119030756527322,10
hERG,toxicity,descriptors,scaffold,rf,shap,random,0.0037473711985967855,0.04497140321857127,0.005597915702320296,0.06658051892029637,0.020467836257309944,0.03135615583264213,10
hERG,toxicity,descriptors,scaffold,rf,lime,random,-0.0018589634181032043,0.04079610984881979,-0.0027305282706288924,0.06152107832074881,0.025048732943469782,0.03510544819592528,10
hERG,toxicity,descriptors,scaffold,hgb,shap,lime,0.08344307263217222,0.0518242815597421,0.11934973038885553,0.0738899058969618,0.09920020639834881,0.060905320534691255,10
hERG,toxicity,descriptors,scaffold,hgb,shap,random,-0.006341812634676084,0.04757333511830912,-0.008198584752976225,0.0686047761651054,0.024074074074074074,0.03347651725346958,10
hERG,toxicity,descriptors,scaffold,hgb,lime,random,-0.009363088126528989,0.04271081818347592,-0.014712466980149727,0.0633046914469456,0.02448113748423346,0.03993575287413225,10
hERG,toxicity,descriptors,scaffold,mlp,ig,lime,0.1004040400416826,0.04811673786108874,0.14974650906660728,0.07115889675062183,0.0638845889232886,0.05643434658626409,10
hERG,toxicity,descriptors,scaffold,mlp,ig,random,-0.0067367844035941,0.049506495662293225,-0.010556502196293789,0.07304814684158625,0.02037037037037037,0.02955949301281964,10
