endpoint,model,test_auroc,n_explained,faith,null_faith,beats_null,sanity_sim,sanity_passed
DILI,GIN,0.8554059921841076,80,0.23863219476188532,0.08924230217235163,True,0.22697392155618168,True
hERG,GIN,0.8237547892720306,80,0.19272048441926018,0.09284167886362411,True,0.2758025254164814,True
AMES,GIN,0.8261616866255862,80,0.2231661571539007,0.08513165084441425,True,0.2615888902280267,True
BBB,GIN,0.7898781500969261,80,0.012667075408171514,0.022292568074772135,False,0.22370444152929359,True
