method,recovery,faithfulness
IG,0.4875854273121491,0.1638099602316164
grad,0.4720554925001397,0.17676313025693813
grad*input,0.4764262872943656,0.16890577387102435
smoothgrad,0.4746142434450429,0.17823205398064446
occlusion,0.5505978625477518,0.18112029849904282
random,0.500531664170322,0.08539564039108453
