endpoint,n_mols_with_alerts,attr_alert_auc,rand_alert_auc,delta,delta_lo,delta_hi
DILI,42,0.5034864999865973,0.5093783692292269,-0.005891869242629522,-0.09785416791846636,0.08176400838914481
hERG,38,0.5321247981290013,0.5073436968236971,0.0247811013053042,-0.06559047772345578,0.11870681482157212
AMES,92,0.5470646866188796,0.4721751719109978,0.07488951470788185,0.004600902777211124,0.1482237001649481
