mol_idx,bit,n_atoms,n_gt,frac_gt,ig_auc,occ_auc,rand_auc,ig_faith,occ_faith,rand_faith
0,80,10,3,0.3,0.8571428571428572,0.8095238095238095,0.4285714285714286,0.6001420360989869,0.6470629018731415,-0.012070536613464355
0,114,10,1,0.1,1.0,1.0,0.11111111111111116,0.08302073171944357,0.018674986965682667,0.06870816510733373
0,342,10,1,0.1,0.33333333333333337,0.5555555555555556,0.11111111111111116,0.34800669155083597,0.3435015639600654,0.19319364801049232
0,728,10,2,0.2,0.6875,1.0,0.875,0.6369258310490599,0.84855876940613,0.49207406242688495
0,251,10,1,0.1,0.11111111111111116,0.6666666666666667,0.4444444444444444,0.161176455905661,0.003040588771303495,-0.07269768913586934
0,674,10,2,0.2,0.625,0.9375,0.4375,-0.008751040790230036,-0.5923663179079691,0.009881921663084844
0,360,10,2,0.2,0.375,0.6875,0.5625,-0.008065575578560432,-0.5916935397932926,-0.2859948718299468
0,790,10,2,0.2,0.5625,0.6875,0.5625,-0.012947678488368789,-0.6271646022796631,-0.3131664954125881
1,80,10,4,0.4,0.875,0.375,0.375,0.024499436219533283,0.050903499126434326,-0.00020662943522135416
1,33,10,2,0.2,0.25,1.0,0.625,-0.02090279261271159,0.013082623481750488,0.0172768235206604
1,807,10,2,0.2,0.1875,0.875,0.6875,0.33562594652175903,0.6663724655906359,0.22211565574010214
1,650,10,1,0.1,0.11111111111111116,0.8888888888888888,0.7777777777777778,0.5457234941422939,0.5094790458679199,0.22361688812573752
1,893,10,1,0.1,0.0,0.8888888888888888,0.4444444444444444,0.5216440210739771,0.6488021014180655,0.14285976688067117
1,1,10,1,0.1,1.0,1.0,0.2222222222222222,0.7068616372222701,0.7072309997553626,0.02143917481104533
1,294,10,2,0.2,0.375,0.9375,0.25,-0.08588645855585735,0.06627583503723145,-0.001562654972076416
1,887,10,1,0.1,1.0,0.33333333333333337,0.33333333333333337,0.1794742544492086,0.44401735067367554,0.024900436401367188
1,794,10,1,0.1,0.8888888888888888,0.6666666666666667,0.2222222222222222,0.1328249971071879,0.5471742699543635,-0.04283843437830607
1,389,10,1,0.1,0.11111111111111116,0.4444444444444444,0.2222222222222222,0.21802138102551302,0.27750617555739154,0.10633467137813568
1,591,10,1,0.1,0.8888888888888888,0.7777777777777778,0.0,0.3597445289293925,0.5332654664913813,0.39859282473723096
1,820,10,1,0.1,0.2222222222222222,0.8888888888888888,0.33333333333333337,0.06562468944078621,0.01802557232228234,-0.07664208610852559
1,739,10,1,0.1,0.6666666666666667,0.7777777777777778,0.7777777777777778,0.44030792855968076,0.44784388310896855,0.21195569386084875
1,392,10,1,0.1,0.6666666666666667,0.7777777777777778,0.7777777777777778,0.04343551203540604,0.003589930156219149,0.010531941428780556
1,520,10,1,0.1,0.5555555555555556,0.7777777777777778,1.0,0.28279425331857055,0.2853025041307167,0.14620372653007507
2,80,24,16,0.6666666666666666,0.9296875,0.3203125,0.3984375,1.5099843343098958e-06,4.335244496663412e-05,-1.73648198445638e-05
2,33,24,4,0.16666666666666666,0.1625,1.0,0.4375,0.0010832548141479492,-0.0001366734504699707,7.824103037516276e-05
2,807,24,1,0.041666666666666664,0.26086956521739135,0.8695652173913043,0.782608695652174,0.15136120716730753,0.9365154085680842,0.13302830855051676
2,650,24,1,0.041666666666666664,0.13043478260869568,1.0,0.34782608695652173,0.2862325708071391,0.818931583315134,0.01896194616953532
2,893,24,1,0.041666666666666664,0.0,0.9565217391304348,0.5652173913043479,0.6881246523310741,0.8581944934315592,0.5005891223748525
2,294,24,4,0.16666666666666666,0.15000000000000002,0.9625,0.475,-0.0077656904856363935,-0.010964035987854004,0.0047301451365153
